Title,Ranking,Year,Rating
The Shawshank Redemption,1,1994,9.3
The Godfather,2,1972,9.2
The Dark Knight,3,2008,9.0
The Godfather: Part II,4,1974,9.0
12 Angry Men,5,1957,9.0
The Lord of the Rings: The Return of the King,6,2003,9.0
Schindler's List,7,1993,9.0
Pulp Fiction,8,1994,8.9
The Lord of the Rings: The Fellowship of the Ring,9,2001,8.9
"The Good, the Bad and the Ugly",10,1966,8.8
Forrest Gump,11,1994,8.8
The Lord of the Rings: The Two Towers,12,2002,8.8
Fight Club,13,1999,8.8
Inception,14,2010,8.8
Star Wars: Episode V - The Empire Strikes Back,15,1980,8.7
The Matrix,16,1999,8.7
GoodFellas,17,1990,8.7
One Flew Over the Cuckoo's Nest,18,1975,8.7
Interstellar,19,2014,8.7
Se7en,20,1995,8.6
It's a Wonderful Life,21,1946,8.6
Seven Samurai,22,1954,8.6
The Silence of the Lambs,23,1991,8.6
Saving Private Ryan,24,1998,8.6
City of God,25,2002,8.6
